,C,R,RT,S,cond,day,prestim_R,stim
0,k,k,0.7647118212189525,W,practice,1,[],handle
1,k,k,0.4002126723062247,W,practice,1,['j'],escape
2,k,k,0.34671314735896885,W,practice,1,['j'],planet
3,j,k,0.41492577036842704,N,practice,1,['j'],fruqoant
4,k,k,0.4557193350046873,W,practice,1,['j'],harm
5,k,k,0.49281141348183155,W,practice,1,['j'],persuade
6,j,j,0.6621068390086293,N,practice,1,['j'],imorgu
7,j,j,0.7927288142964244,N,practice,1,['j'],cemmit
8,j,j,0.6063799324911088,N,practice,1,['j'],menaol
9,j,j,0.5365799278952181,N,practice,1,['j'],docint
10,k,k,0.48126556631177664,W,practice,1,['j'],desk
11,k,k,0.5023002454545349,W,practice,1,['j'],device
12,j,j,0.6257325825281441,N,practice,1,['j'],bottir
13,k,k,0.6561395116150379,W,practice,1,['j'],silence
14,k,k,0.5467637465335429,W,practice,1,['j'],album
15,j,j,0.6374971717596054,N,practice,1,['j'],pluen
16,j,j,0.6039091704878956,N,practice,1,['j'],onstont
17,k,k,0.6050127954222262,W,practice,1,['j'],delay
18,j,j,0.5992167356889695,N,practice,1,['j'],mitoun
19,k,k,0.6893870809581131,W,practice,1,['j'],seventh
20,j,j,0.696232681395486,N,practice,1,['j'],berst
21,k,k,0.5681289425119758,W,practice,1,['j'],bold
22,j,j,0.4599466426298022,N,practice,1,['j'],fruod
23,j,j,0.6480256288778037,N,practice,1,['j'],daluvory
